n_eval,value,pretrain.data,pscale,ptask,fdata,fratio,ftask,model,nparam,pdata
160020,0.120559997856617,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
160020,0.125440001487732,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
160020,0.122359998524189,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
160020,0.126499995589256,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
160020,0.124099999666214,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
160020,0.126159995794296,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.116539999842644,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.125880002975464,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.113920003175735,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.123379997909069,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.122179999947548,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.124140001833439,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
165020,0.123680002987385,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.11913999915123,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.121540002524853,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.118519999086857,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.117239996790886,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.131359994411469,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.124099999666214,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
170020,0.120880000293255,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.1129399985075,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.116779997944832,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.118060000240803,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.119680002331734,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.123860001564026,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.12398000061512,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
175020,0.116839997470379,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.115599997341633,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.123520001769066,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.118519999086857,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.120999999344349,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.122100003063679,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.117600001394749,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
180020,0.123779997229576,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.116219997406006,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.114739999175072,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.115280002355576,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.121840000152588,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.119340002536774,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.127419993281364,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
185020,0.121440000832081,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.109719999134541,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.119680002331734,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.123599998652935,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.118419997394085,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.126519992947578,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.127820000052452,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
190020,0.117320001125336,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.12253999710083,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.116659998893738,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.12364000082016,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.116200000047684,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.122100003063679,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.122299998998642,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
195020,0.128040000796318,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.120659999549389,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.119659997522831,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.121699996292591,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.123599998652935,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.12151999771595,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.121440000832081,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
200020,0.122500002384186,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.119920000433922,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.115680001676083,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.118419997394085,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.118919998407364,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.125619992613792,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.130300000309944,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
205020,0.123680002987385,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.115120001137257,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.120339997112751,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.12610000371933,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.128959998488426,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.122720003128052,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.123060002923012,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
210020,0.125119999051094,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.119879998266697,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.123620003461838,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.122560001909733,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.122840002179146,160000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.120059996843338,320000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.122160002589226,640000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
215020,0.123800002038479,1280000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
220020,0.120520003139973,20000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
220020,0.120540000498295,40000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
220020,0.114919997751713,80000,1280k,mulclass,imagenet,1,sinclass,r101,42.8,bop
